timestamp,config_file,grid_size,wind_direction,base_penalty,distance_decay,score_mode,uniform_value,layers,optimizer,maxiter,rhobeg,shots,gamma_range,beta_range,enforce_constraints,min_turbines,max_turbines,constraint_penalty,best_bitstring,best_probability,optimal_value,total_score,wake_penalty,net_score,iterations,execution_time_s,min_cost,max_cost,final_cost,num_turbines,turbines_with_penalty,penalty_ratio
2025-08-20 20:51:53,temp_2x3_p2_rhobeg0.3_rep1.json,2x3,0-1,3.0,1.0,uniform,5.0,2,COBYLA,50,0.3,1024,pi,pi/2,False,,,10.0,111111,0.378906,-17.710162032080177,30.0,10.0,20.0,50,0.78,-17.710162032080177,-10.02821072566027,-17.710162032080177,6,4,0.666667
2025-08-20 20:51:58,temp_2x3_p2_rhobeg0.3_rep2.json,2x3,0-1,3.0,1.0,uniform,5.0,2,COBYLA,50,0.3,1024,pi,pi/2,False,,,10.0,111111,0.594727,-18.721168271656627,30.0,10.0,20.0,50,0.87,-18.721168271656627,-11.035425905358002,-18.721168271656627,6,4,0.666667
2025-08-20 20:52:04,temp_2x3_p2_rhobeg0.3_rep3.json,2x3,0-1,3.0,1.0,uniform,5.0,2,COBYLA,50,0.3,1024,pi,pi/2,False,,,10.0,111111,0.166016,-16.854689410064008,30.0,10.0,20.0,50,0.80,-16.854689410064008,-11.443369068821344,-16.854689410064008,6,4,0.666667
2025-08-20 20:52:09,temp_2x3_p2_rhobeg0.5_rep1.json,2x3,0-1,3.0,1.0,uniform,5.0,2,COBYLA,50,0.5,1024,pi,pi/2,False,,,10.0,101101,0.147461,-16.54869070680364,20.0,2.0,18.0,50,0.79,-16.54869070680364,-9.070551736490843,-16.529230402135646,4,2,0.500000
2025-08-20 20:52:14,temp_2x3_p2_rhobeg0.5_rep2.json,2x3,0-1,3.0,1.0,uniform,5.0,2,COBYLA,50,0.5,1024,pi,pi/2,False,,,10.0,111111,0.606445,-19.368224880093727,30.0,10.0,20.0,50,0.75,-19.368224880093727,-10.91688476770201,-19.368224880093727,6,4,0.666667
2025-08-20 20:52:20,temp_2x3_p2_rhobeg0.5_rep3.json,2x3,0-1,3.0,1.0,uniform,5.0,2,COBYLA,50,0.5,1024,pi,pi/2,False,,,10.0,101101,0.223633,-16.67168747661056,20.0,2.0,18.0,50,0.78,-16.67168747661056,-11.028648817135709,-16.671664654320377,4,2,0.500000
2025-08-20 20:52:25,temp_2x3_p2_rhobeg0.7_rep1.json,2x3,0-1,3.0,1.0,uniform,5.0,2,COBYLA,50,0.7,1024,pi,pi/2,False,,,10.0,111111,0.360352,-15.923502015411593,30.0,10.0,20.0,50,0.76,-15.923502015411593,-8.847691059342333,-15.922147393969913,6,4,0.666667
2025-08-20 20:52:31,temp_2x3_p2_rhobeg0.7_rep2.json,2x3,0-1,3.0,1.0,uniform,5.0,2,COBYLA,50,0.7,1024,pi,pi/2,False,,,10.0,111111,0.463867,-19.25123310743185,30.0,10.0,20.0,50,0.72,-19.25123310743185,-9.879720494198246,-19.246626865516426,6,4,0.666667
2025-08-20 20:52:39,temp_2x3_p2_rhobeg0.7_rep3.json,2x3,0-1,3.0,1.0,uniform,5.0,2,COBYLA,50,0.7,1024,pi,pi/2,False,,,10.0,111111,0.489258,-18.100353992434492,30.0,10.0,20.0,50,0.84,-18.100353992434492,-11.246190388551518,-18.100353992434492,6,4,0.666667
