timestamp,config_file,grid_size,wind_direction,base_penalty,distance_decay,score_mode,uniform_value,layers,optimizer,maxiter,rhobeg,shots,gamma_range,beta_range,enforce_constraints,min_turbines,max_turbines,constraint_penalty,best_bitstring,best_probability,optimal_value,total_score,wake_penalty,net_score,iterations,execution_time_s,min_cost,max_cost,final_cost,num_turbines,turbines_with_penalty,penalty_ratio
2025-08-13 10:04:05,config_2x2.json,2x2,0-1,8.0,1.0,uniform,5,2,COBYLA,50,0.7,100,pi/2,pi/4,False,1,6,10.0,1010,0.310000,-9.964854467817418,10,0,10,50,1.46,-9.964854467817418,-2.851091806250236,-9.964848434604125,2,0,0.000000
2025-08-13 10:17:57,config_2x2.json,2x2,0-1,8.0,1.0,uniform,5,2,COBYLA,50,0.7,100,pi/2,pi/4,False,1,6,10.0,1111,1.000000,-19.999925717938268,20,14.0,6.0,50,1.19,-19.999925717938268,-3.954669209187503,-19.999925717938268,4,2,0.500000
2025-08-13 10:19:27,config_2x2.json,2x2,0-1,8.0,1.0,uniform,5,2,COBYLA,50,0.7,100,pi/2,pi/4,False,1,6,10.0,1111,1.000000,-9.99999844682787,20,14.0,6.0,50,1.18,-9.99999844682787,9.314154823137814,-9.99999844682787,4,2,0.500000
2025-08-13 10:21:05,config_2x2.json,2x2,0-1,8.0,1.0,uniform,5,1,COBYLA,50,0.7,100,pi/2,pi/4,False,1,6,10.0,1111,1.000000,-9.99998518972908,20,14.0,6.0,50,1.12,-9.99998518972908,3.309887892381676,-9.99998518972908,4,2,0.500000
2025-08-13 10:21:22,config_2x2.json,2x2,0-1,8.0,1.0,uniform,5,1,COBYLA,50,0.7,100,pi/2,pi/4,False,1,6,10.0,1111,1.000000,-9.999998988622831,20,14.0,6.0,33,1.11,-9.999999809058025,8.284847693951154,-9.999998988622831,4,2,0.500000
2025-08-13 10:22:34,config_2x2.json,2x2,0-1,8.0,1.0,uniform,5,1,COBYLA,50,0.7,100,pi/2,pi/4,False,1,6,10.0,1010,0.230000,-8.662664349499757,10,0,10,41,1.23,-8.662664349499757,-0.9064877695854979,-8.662664349499757,2,0,0.000000
