timestamp,config_file,grid_size,wind_direction,base_penalty,distance_decay,score_mode,uniform_value,layers,optimizer,maxiter,rhobeg,shots,gamma_range,beta_range,enforce_constraints,min_turbines,max_turbines,constraint_penalty,best_bitstring,best_probability,optimal_value,total_score,wake_penalty,net_score,iterations,execution_time_s,min_cost,max_cost,final_cost,num_turbines,turbines_with_penalty,penalty_ratio
2025-08-09 19:48:29,config_5x5.json,5x5,0-1,20,1,uniform,5,1,COBYLA,200,0.5,100,2*pi,pi,False,3,3,10.0,1101000000000000001000000,0.010000,31.0657412309421,20,54,-34,200,1226.23,31.0657412309421,223.26283426096384,31.0657412309421,4,2,0.500000
2025-08-09 20:08:16,config_5x5.json,5x5,0-1,20,1,uniform,5,1,COBYLA,200,0.5,100,2*pi,pi,False,3,3,10.0,0101000111101001100010100,0.010000,138.1163338591055,55,129,-74,200,1183.03,138.1163338591055,262.3449057588878,138.1163338591055,11,6,0.545455
2025-08-09 20:28:00,config_5x5.json,5x5,0-1,20,1,uniform,5,1,COBYLA,200,0.5,100,2*pi,pi,False,3,3,10.0,1001101001000001111011010,0.010000,102.51412798717573,60,233,-173,200,1180.61,102.51412798717573,185.07823592016337,102.51412798717573,12,8,0.666667
2025-08-09 20:47:53,config_5x5.json,5x5,0-1,20,1,uniform,5,1,COBYLA,200,0.6,100,2*pi,pi,False,3,3,10.0,1101101000110110100111010,0.010000,127.40720516904898,70,283,-213,200,1191.16,127.40720516904898,212.9447113575228,127.40720516904898,14,9,0.642857
2025-08-09 21:06:42,config_5x5.json,5x5,0-1,20,1,uniform,5,1,COBYLA,200,0.6,100,2*pi,pi,False,3,3,10.0,0100010000000010000000001,0.010000,30.048643002470417,20,0,20,200,1126.38,30.048643002470417,285.1310926615635,30.048643002470417,4,0,0.000000
2025-08-09 21:09:47,config_5x5.json,5x5,0-1,20,1,uniform,5,1,COBYLA,200,0.6,100,2*pi,pi,False,3,3,10.0,1111110000101100111111010,0.010000,123.32386644057011,80,398,-318,32,182.81,123.32306525623683,257.02447880526944,123.32386644057011,16,11,0.687500
2025-08-09 21:28:37,config_5x5.json,5x5,0-1,20,1,uniform,5,1,COBYLA,200,0.7,100,2*pi,pi,False,3,3,10.0,0111110000010000000011111,0.010000,51.51044070543736,55,290,-235,200,1127.62,51.51044070543736,245.86819225255059,51.51044070543736,11,7,0.636364
2025-08-09 21:47:30,config_5x5.json,5x5,0-1,20,1,uniform,5,1,COBYLA,200,0.7,100,2*pi,pi,False,3,3,10.0,0001001010000010111000001,0.010000,57.20038357162322,40,74,-34,200,1130.69,57.20038357162322,193.0503169614032,57.20038357162322,8,3,0.375000
2025-08-09 22:06:19,config_5x5.json,5x5,0-1,20,1,uniform,5,1,COBYLA,200,0.7,100,2*pi,pi,False,3,3,10.0,1010000100101011010000111,0.010000,111.4009855839551,55,144,-89,200,1126.09,111.4009855839551,221.8553455936521,111.4009855839551,11,6,0.545455
2025-08-09 22:25:11,config_5x5.json,5x5,0-1,20,1,uniform,5,1,COBYLA,200,0.8,100,2*pi,pi,False,3,3,10.0,0000000000000000000000000,0.080000,-3.507331240382162,0,0,0,200,1129.90,-3.507331240382162,395.68301458872105,-3.507331240382162,0,0,0.000000
2025-08-09 22:44:04,config_5x5.json,5x5,0-1,20,1,uniform,5,1,COBYLA,200,0.8,100,2*pi,pi,False,3,3,10.0,0111001010000111011100111,0.010000,107.09149566084321,70,256,-186,200,1130.88,107.09149566084321,222.45782366955282,107.09149566084321,14,9,0.642857
2025-08-09 23:02:58,config_5x5.json,5x5,0-1,20,1,uniform,5,1,COBYLA,200,0.8,100,2*pi,pi,False,3,3,10.0,1000101010110001100000001,0.010000,60.94428441237332,45,72,-27,200,1131.31,60.94428441237332,224.63723880583123,60.94428441237332,9,4,0.444444
2025-08-09 23:21:46,config_5x5.json,5x5,0-1,20,1,uniform,5,1,COBYLA,200,0.9,100,2*pi,pi,False,3,3,10.0,0111010000010001100000111,0.010000,116.96170145379658,50,131,-81,200,1125.72,116.96170145379658,216.90857578381997,116.96170145379658,10,5,0.500000
2025-08-09 23:40:39,config_5x5.json,5x5,0-1,20,1,uniform,5,1,COBYLA,200,0.9,100,2*pi,pi,False,3,3,10.0,1011010010101000110101011,0.010000,125.89872180285457,65,197,-132,200,1130.86,125.89872180285457,203.9130368577993,125.89872180285457,13,8,0.615385
2025-08-09 23:59:33,config_5x5.json,5x5,0-1,20,1,uniform,5,1,COBYLA,200,0.9,100,2*pi,pi,False,3,3,10.0,0000011100100010010000001,0.010000,33.053607046973816,35,72,-37,200,1130.39,33.053607046973816,241.31879894648804,33.053607046973816,7,3,0.428571
2025-08-10 10:36:16,config_5x5.json,5x5,0-1,20,1,uniform,5,2,COBYLA,200,0.7,1024,2*pi,pi,False,3,3,10.0,0010010101000000001101100,0.000977,113.11883994820205,40,90,-50,200,1372.07,113.11883994820205,271.00260868677395,113.11883994820205,8,4,0.500000
