timestamp,config_file,grid_size,wind_direction,base_penalty,distance_decay,score_mode,uniform_value,layers,optimizer,maxiter,rhobeg,shots,gamma_range,beta_range,enforce_constraints,min_turbines,max_turbines,constraint_penalty,best_bitstring,best_probability,optimal_value,total_score,wake_penalty,net_score,iterations,execution_time_s,min_cost,max_cost,final_cost,num_turbines,turbines_with_penalty,penalty_ratio
2025-08-10 12:40:23,config.json,2x3,0-1,3.0,1.0,random,,1,COBYLA,50,0.5,1024,pi,pi/2,False,,,10.0,011010,0.134766,-12.83828048469555,13.263478577623472,2.0,11.263478577623472,32,1.25,-12.838280526538353,-10.277991425058568,-12.83828048469555,3,1,0.333333
2025-08-10 12:43:52,config.json,2x3,0-1,3.0,1.0,random,,1,COBYLA,50,0.5,1024,pi,pi/2,False,,,10.0,011111,0.152344,-12.83828048469555,22.029813729270394,7.0,15.029813729270394,32,0.57,-12.838280526538353,-10.277991425058568,-12.83828048469555,5,3,0.600000
2025-08-10 14:41:35,config.json,2x3,0-1,3.0,1.0,random,,1,COBYLA,50,0.4,1024,pi,pi/2,False,,,10.0,110010,0.127930,-12.83828044036745,12.156818667971388,2.0,10.156818667971388,37,0.71,-12.83828053310051,-10.277991425058568,-12.83828044036745,3,1,0.333333
2025-08-10 14:41:39,config.json,2x3,0-1,3.0,1.0,random,,1,COBYLA,50,0.6,1024,pi,pi/2,False,,,10.0,011010,0.134766,-12.838280458852147,13.263478577623472,2.0,11.263478577623472,37,0.60,-12.83828053604099,-10.277991425058568,-12.838280458852147,3,1,0.333333
2025-08-13 09:51:11,config.json,2x3,0-1,3.0,1.0,random,,1,COBYLA,50,0.5,1024,pi,pi/2,False,,,10.0,011111,0.152344,-12.83828048469555,22.029813729270394,7.0,15.029813729270394,32,1.16,-12.838280526538353,-10.277991425058568,-12.83828048469555,5,3,0.600000
